Averaging Time (tau),Allan Deviation
4.29,0.000155878
4.3,0.000156026
4.31,0.000156173
4.32,0.00015632
4.33,0.000156466
4.34,0.000156613
4.35,0.000156759
4.36,0.000156905
4.37,0.000157051
4.38,0.000157196
4.39,0.000157341
4.4,0.000157486
4.41,0.00015763
4.42,0.000157774
4.43,0.000157918
4.44,0.000158062
4.45,0.000158206
4.46,0.00015835
4.47,0.000158494
4.48,0.000158638
4.49,0.000158782
4.5,0.000158925
4.51,0.000159069
4.52,0.000159212
4.53,0.000159356
4.54,0.000159499
4.55,0.000159641
4.56,0.000159784
4.57,0.000159927
4.58,0.000160069
4.59,0.000160211
4.6,0.000160353
4.61,0.000160495
4.62,0.000160637
4.63,0.000160779
4.64,0.000160921
4.65,0.000161063
4.66,0.000161204
4.67,0.000161345
4.68,0.000161486
4.69,0.000161627
4.7,0.000161767
4.71,0.000161908
4.72,0.000162048
4.73,0.000162188
4.74,0.000162328
4.75,0.000162468
4.76,0.000162608
4.77,0.000162747
4.78,0.000162887
4.79,0.000163026
4.8,0.000163166
4.81,0.000163305
4.82,0.000163444
4.83,0.000163583
4.84,0.000163722
4.85,0.00016386
4.86,0.000163998
4.87,0.000164136
4.88,0.000164274
4.89,0.000164411
4.9,0.000164548
4.91,0.000164684
4.92,0.00016482
4.93,0.000164955
4.94,0.00016509
4.95,0.000165226
4.96,0.000165361
4.97,0.000165496
4.98,0.000165631
4.99,0.000165766
5,0.000165901
5.01,0.000166036
5.02,0.000166171
5.03,0.000166305
5.04,0.000166439
5.05,0.000166573
5.06,0.000166707
5.07,0.000166842
5.08,0.000166976
5.09,0.000167109
5.1,0.000167243
5.11,0.000167376
5.12,0.000167509
5.13,0.000167642
5.14,0.000167774
5.15,0.000167907
5.16,0.000168039
5.17,0.000168171
5.18,0.000168303
5.19,0.000168436
5.2,0.000168568
5.21,0.0001687
5.22,0.000168832
5.23,0.000168965
5.24,0.000169097
5.25,0.000169229
5.26,0.000169361
5.27,0.000169494
5.28,0.000169625
5.29,0.000169757
5.3,0.000169889
5.31,0.00017002
5.32,0.000170151
5.33,0.000170282
5.34,0.000170412
5.35,0.000170543
5.36,0.000170674
5.37,0.000170804
5.38,0.000170935
5.39,0.000171065
5.4,0.000171195
5.41,0.000171325
5.42,0.000171455
5.43,0.000171584
5.44,0.000171713
5.45,0.000171843
5.46,0.000171972
5.47,0.000172101
5.48,0.00017223
5.49,0.000172359
5.5,0.000172488
5.51,0.000172617
5.52,0.000172746
5.53,0.000172874
5.54,0.000173002
5.55,0.000173131
5.56,0.000173259
5.57,0.000173387
5.58,0.000173515
5.59,0.000173643
5.6,0.000173771
5.61,0.000173898
5.62,0.000174026
5.63,0.000174153
5.64,0.00017428
5.65,0.000174407
5.66,0.000174533
5.67,0.00017466
5.68,0.000174786
5.69,0.000174912
5.7,0.000175038
5.71,0.000175164
5.72,0.000175289
5.73,0.000175415
5.74,0.00017554
5.75,0.000175666
5.76,0.000175791
5.77,0.000175916
5.78,0.000176041
5.79,0.000176165
5.8,0.00017629
5.81,0.000176413
5.82,0.000176537
5.83,0.000176661
5.84,0.000176784
5.85,0.000176908
5.86,0.000177031
5.87,0.000177155
5.88,0.000177278
5.89,0.000177401
5.9,0.000177524
5.91,0.000177647
5.92,0.00017777
5.93,0.000177892
5.94,0.000178015
5.95,0.000178137
5.96,0.000178259
5.97,0.000178381
5.98,0.000178503
5.99,0.000178624
6,0.000178746
6.01,0.000178867
6.02,0.000178988
6.03,0.000179109
6.04,0.000179229
6.05,0.000179349
6.06,0.00017947
6.07,0.00017959
6.08,0.00017971
6.09,0.000179829
6.1,0.000179949
6.11,0.000180068
6.12,0.000180187
6.13,0.000180306
6.14,0.000180425
6.15,0.000180544
6.16,0.000180663
6.17,0.000180782
6.18,0.0001809
6.19,0.000181018
6.2,0.000181136
6.21,0.000181254
6.22,0.000181372
6.23,0.000181489
6.24,0.000181607
6.25,0.000181724
6.26,0.00018184
6.27,0.000181957
6.28,0.000182074
6.29,0.00018219
6.3,0.000182306
6.31,0.000182422
6.32,0.000182538
6.33,0.000182654
6.34,0.00018277
6.35,0.000182885
6.36,0.000183
6.37,0.000183116
6.38,0.00018323
6.39,0.000183345
6.4,0.000183459
6.41,0.000183574
6.42,0.000183688
6.43,0.000183802
6.44,0.000183916
6.45,0.00018403
6.46,0.000184144
6.47,0.000184258
6.48,0.000184371
6.49,0.000184485
6.5,0.000184598
6.51,0.000184711
6.52,0.000184825
6.53,0.000184938
6.54,0.000185051
6.55,0.000185164
6.56,0.000185276
6.57,0.000185389
6.58,0.000185502
6.59,0.000185615
6.6,0.000185728
6.61,0.00018584
6.62,0.000185952
6.63,0.000186064
6.64,0.000186176
6.65,0.000186287
6.66,0.000186399
6.67,0.00018651
6.68,0.000186622
6.69,0.000186733
6.7,0.000186844
6.71,0.000186955
6.72,0.000187066
6.73,0.000187176
6.74,0.000187286
6.75,0.000187396
6.76,0.000187506
6.77,0.000187616
6.78,0.000187725
6.79,0.000187835
6.8,0.000187945
6.81,0.000188054
6.82,0.000188163
6.83,0.000188272
6.84,0.000188381
6.85,0.00018849
6.86,0.000188599
6.87,0.000188707
6.88,0.000188816
6.89,0.000188925
6.9,0.000189033
6.91,0.000189141
6.92,0.000189248
6.93,0.000189356
6.94,0.000189463
6.95,0.00018957
6.96,0.000189677
6.97,0.000189784
6.98,0.00018989
6.99,0.000189997
7,0.000190103
7.01,0.000190209
7.02,0.000190315
7.03,0.000190421
7.04,0.000190526
7.05,0.000190632
7.06,0.000190737
7.07,0.000190842
7.08,0.000190947
7.09,0.000191052
7.1,0.000191156
7.11,0.000191261
7.12,0.000191365
7.13,0.00019147
7.14,0.000191574
7.15,0.000191678
7.16,0.000191782
7.17,0.000191885
7.18,0.000191989
7.19,0.000192093
7.2,0.000192196
7.21,0.000192299
7.22,0.000192402
7.23,0.000192504
7.24,0.000192607
7.25,0.00019271
7.26,0.000192812
7.27,0.000192915
7.28,0.000193017
7.29,0.000193119
7.3,0.00019322
7.31,0.000193322
7.32,0.000193424
7.33,0.000193525
7.34,0.000193626
7.35,0.000193728
7.36,0.000193829
7.37,0.00019393
7.38,0.000194031
7.39,0.000194131
7.4,0.000194231
7.41,0.000194332
7.42,0.000194432
7.43,0.000194531
7.44,0.000194631
7.45,0.000194731
7.46,0.00019483
7.47,0.000194929
7.48,0.000195028
7.49,0.000195127
7.5,0.000195226
7.51,0.000195325
7.52,0.000195424
7.53,0.000195522
7.54,0.00019562
7.55,0.000195718
7.56,0.000195816
7.57,0.000195914
7.58,0.000196012
7.59,0.000196109
7.6,0.000196207
7.61,0.000196304
7.62,0.000196402
7.63,0.000196499
7.64,0.000196596
7.65,0.000196693
7.66,0.000196789
7.67,0.000196886
7.68,0.000196982
7.69,0.000197079
7.7,0.000197175
7.71,0.000197271
7.72,0.000197367
7.73,0.000197463
7.74,0.000197559
7.75,0.000197655
7.76,0.00019775
7.77,0.000197846
7.78,0.000197941
7.79,0.000198037
7.8,0.000198132
7.81,0.000198228
7.82,0.000198323
7.83,0.000198419
7.84,0.000198514
7.85,0.000198609
7.86,0.000198704
7.87,0.000198798
7.88,0.000198893
7.89,0.000198988
7.9,0.000199082
7.91,0.000199177
7.92,0.000199271
7.93,0.000199365
7.94,0.00019946
7.95,0.000199554
7.96,0.000199648
7.97,0.000199742
7.98,0.000199835
7.99,0.000199929
8,0.000200022
8.01,0.000200116
8.02,0.000200209
8.03,0.000200302
8.04,0.000200395
8.05,0.000200489
8.06,0.000200582
8.07,0.000200675
8.08,0.000200768
8.09,0.00020086
8.1,0.000200953
8.11,0.000201045
8.12,0.000201138
8.13,0.00020123
8.14,0.000201322
8.15,0.000201414
8.16,0.000201506
8.17,0.000201598
8.18,0.00020169
8.19,0.000201782
8.2,0.000201874
8.21,0.000201965
8.22,0.000202057
8.23,0.000202149
8.24,0.00020224
8.25,0.000202332
8.26,0.000202423
8.27,0.000202514
8.28,0.000202605
8.29,0.000202696
8.3,0.000202787
8.31,0.000202877
8.32,0.000202968
8.33,0.000203059
8.34,0.00020315
8.35,0.00020324
8.36,0.00020333
8.37,0.000203421
8.38,0.000203511
8.39,0.0002036
8.4,0.00020369
8.41,0.00020378
8.42,0.00020387
8.43,0.00020396
8.44,0.00020405
8.45,0.000204139
8.46,0.000204229
8.47,0.000204318
8.48,0.000204407
8.49,0.000204497
8.5,0.000204586
8.51,0.000204674
8.52,0.000204763
8.53,0.000204851
8.54,0.00020494
8.55,0.000205028
8.56,0.000205116
8.57,0.000205204
8.58,0.000205292
8.59,0.00020538
8.6,0.000205468
8.61,0.000205556
8.62,0.000205644
8.63,0.000205732
8.64,0.000205819
8.65,0.000205907
8.66,0.000205995
8.67,0.000206083
8.68,0.000206171
8.69,0.000206259
8.7,0.000206346
8.71,0.000206434
8.72,0.000206522
8.73,0.000206609
8.74,0.000206696
8.75,0.000206784
8.76,0.000206871
8.77,0.000206958
8.78,0.000207045
8.79,0.000207132
8.8,0.000207219
8.81,0.000207306
8.82,0.000207392
8.83,0.000207479
8.84,0.000207566
8.85,0.000207652
8.86,0.000207738
8.87,0.000207824
8.88,0.000207911
8.89,0.000207997
8.9,0.000208083
8.91,0.000208169
8.92,0.000208255
8.93,0.00020834
8.94,0.000208426
8.95,0.000208512
8.96,0.000208597
8.97,0.000208682
8.98,0.000208768
8.99,0.000208853
9,0.000208938
9.01,0.000209023
9.02,0.000209108
9.03,0.000209193
9.04,0.000209278
9.05,0.000209363
9.06,0.000209448
9.07,0.000209532
9.08,0.000209617
9.09,0.000209702
9.1,0.000209786
9.11,0.00020987
9.12,0.000209955
9.13,0.000210039
9.14,0.000210123
9.15,0.000210207
9.16,0.000210291
9.17,0.000210375
9.18,0.000210459
9.19,0.000210542
9.2,0.000210626
9.21,0.00021071
9.22,0.000210793
9.23,0.000210876
9.24,0.000210959
9.25,0.000211042
9.26,0.000211125
9.27,0.000211207
9.28,0.00021129
9.29,0.000211373
9.3,0.000211455
9.31,0.000211538
9.32,0.000211621
9.33,0.000211703
9.34,0.000211786
9.35,0.000211868
9.36,0.00021195
9.37,0.000212032
9.38,0.000212114
9.39,0.000212196
9.4,0.000212278
9.41,0.00021236
9.42,0.000212442
9.43,0.000212524
9.44,0.000212605
9.45,0.000212687
9.46,0.000212769
9.47,0.00021285
9.48,0.000212932
9.49,0.000213013
9.5,0.000213094
9.51,0.000213176
9.52,0.000213257
9.53,0.000213338
9.54,0.000213419
9.55,0.0002135
9.56,0.000213581
9.57,0.000213662
9.58,0.000213743
9.59,0.000213824
9.6,0.000213905
9.61,0.000213985
9.62,0.000214066
9.63,0.000214147
9.64,0.000214227
9.65,0.000214308
9.66,0.000214388
9.67,0.000214468
9.68,0.000214549
9.69,0.000214629
9.7,0.00021471
9.71,0.00021479
9.72,0.00021487
9.73,0.000214951
9.74,0.000215031
9.75,0.000215111
9.76,0.000215191
9.77,0.000215271
9.78,0.000215351
9.79,0.000215431
9.8,0.000215511
9.81,0.000215591
9.82,0.000215671
9.83,0.000215751
9.84,0.000215831
9.85,0.000215911
9.86,0.000215991
9.87,0.00021607
9.88,0.00021615
9.89,0.000216229
9.9,0.000216309
9.91,0.000216388
9.92,0.000216467
9.93,0.000216546
9.94,0.000216625
9.95,0.000216704
9.96,0.000216783
9.97,0.000216862
9.98,0.000216941
9.99,0.00021702
10,0.000217099
10.01,0.000217177
10.02,0.000217256
10.03,0.000217334
10.04,0.000217412
10.05,0.00021749
10.06,0.000217569
10.07,0.000217647
10.08,0.000217725
10.09,0.000217802
10.1,0.00021788
10.11,0.000217958
10.12,0.000218035
10.13,0.000218113
10.14,0.00021819
10.15,0.000218267
10.16,0.000218345
10.17,0.000218422
10.18,0.000218499
10.19,0.000218576
10.2,0.000218654
10.21,0.000218731
10.22,0.000218808
10.23,0.000218885
10.24,0.000218962
10.25,0.000219038
10.26,0.000219115
10.27,0.000219192
10.28,0.000219269
10.29,0.000219345
10.3,0.000219422
10.31,0.000219498
10.32,0.000219575
10.33,0.000219651
10.34,0.000219727
10.35,0.000219804
10.36,0.00021988
10.37,0.000219956
10.38,0.000220032
10.39,0.000220108
10.4,0.000220184
10.41,0.00022026
10.42,0.000220336
10.43,0.000220411
10.44,0.000220487
10.45,0.000220562
10.46,0.000220638
10.47,0.000220713
10.48,0.000220789
10.49,0.000220864
10.5,0.000220939
10.51,0.000221014
10.52,0.000221089
10.53,0.000221164
10.54,0.000221239
10.55,0.000221313
10.56,0.000221388
10.57,0.000221463
10.58,0.000221538
10.59,0.000221612
10.6,0.000221687
10.61,0.000221762
10.62,0.000221836
10.63,0.000221911
10.64,0.000221985
10.65,0.00022206
10.66,0.000222134
10.67,0.000222209
10.68,0.000222283
10.69,0.000222357
10.7,0.000222431
10.71,0.000222506
10.72,0.00022258
10.73,0.000222654
10.74,0.000222728
10.75,0.000222802
10.76,0.000222876
10.77,0.000222949
10.78,0.000223023
10.79,0.000223097
10.8,0.000223171
10.81,0.000223245
10.82,0.000223318
10.83,0.000223392
10.84,0.000223466
10.85,0.00022354
10.86,0.000223614
10.87,0.000223688
10.88,0.000223761
10.89,0.000223835
10.9,0.000223909
10.91,0.000223982
10.92,0.000224056
10.93,0.00022413
10.94,0.000224203
10.95,0.000224277
10.96,0.000224351
10.97,0.000224424
10.98,0.000224498
10.99,0.000224571
11,0.000224644
11.01,0.000224718
11.02,0.000224791
11.03,0.000224864
11.04,0.000224938
11.05,0.000225011
11.06,0.000225084
11.07,0.000225158
11.08,0.000225231
11.09,0.000225304
11.1,0.000225377
11.11,0.00022545
11.12,0.000225522
11.13,0.000225595
11.14,0.000225668
11.15,0.000225741
11.16,0.000225814
11.17,0.000225886
11.18,0.000225959
11.19,0.000226032
11.2,0.000226104
11.21,0.000226177
11.22,0.00022625
11.23,0.000226322
11.24,0.000226395
11.25,0.000226467
11.26,0.00022654
11.27,0.000226612
11.28,0.000226685
11.29,0.000226757
11.3,0.00022683
11.31,0.000226902
11.32,0.000226974
11.33,0.000227047
11.34,0.000227119
11.35,0.000227192
11.36,0.000227264
11.37,0.000227337
11.38,0.000227409
11.39,0.000227482
11.4,0.000227554
11.41,0.000227626
11.42,0.000227699
11.43,0.000227771
11.44,0.000227843
11.45,0.000227915
11.46,0.000227987
11.47,0.000228059
11.48,0.000228131
11.49,0.000228203
11.5,0.000228275
11.51,0.000228347
11.52,0.000228419
11.53,0.00022849
11.54,0.000228562
11.55,0.000228634
11.56,0.000228706
11.57,0.000228778
11.58,0.00022885
11.59,0.000228921
11.6,0.000228993
11.61,0.000229065
11.62,0.000229137
11.63,0.000229208
11.64,0.00022928
11.65,0.000229352
11.66,0.000229423
11.67,0.000229495
11.68,0.000229567
11.69,0.000229639
11.7,0.000229711
11.71,0.000229782
11.72,0.000229854
11.73,0.000229926
11.74,0.000229998
11.75,0.00023007
11.76,0.000230141
11.77,0.000230213
11.78,0.000230285
11.79,0.000230357
11.8,0.000230429
11.81,0.000230501
11.82,0.000230573
11.83,0.000230645
11.84,0.000230716
11.85,0.000230788
11.86,0.00023086
11.87,0.000230932
11.88,0.000231004
11.89,0.000231076
11.9,0.000231148
11.91,0.00023122
11.92,0.000231292
11.93,0.000231363
11.94,0.000231435
11.95,0.000231507
11.96,0.000231579
11.97,0.000231651
11.98,0.000231723
11.99,0.000231795
12,0.000231867
12.01,0.000231939
12.02,0.000232011
12.03,0.000232083
12.04,0.000232155
12.05,0.000232227
12.06,0.000232299
12.07,0.000232371
12.08,0.000232443
12.09,0.000232515
12.1,0.000232587
12.11,0.000232659
12.12,0.000232732
12.13,0.000232804
12.14,0.000232876
12.15,0.000232948
12.16,0.000233021
12.17,0.000233093
12.18,0.000233166
12.19,0.000233238
12.2,0.00023331
12.21,0.000233383
12.22,0.000233456
12.23,0.000233528
12.24,0.000233601
12.25,0.000233674
12.26,0.000233746
12.27,0.000233819
12.28,0.000233892
12.29,0.000233965
12.3,0.000234038
12.31,0.00023411
12.32,0.000234183
12.33,0.000234256
12.34,0.000234329
12.35,0.000234402
12.36,0.000234475
12.37,0.000234548
12.38,0.00023462
12.39,0.000234693
12.4,0.000234766
12.41,0.000234839
12.42,0.000234912
12.43,0.000234985
12.44,0.000235057
12.45,0.00023513
12.46,0.000235203
12.47,0.000235276
12.48,0.000235349
12.49,0.000235422
12.5,0.000235495
12.51,0.000235568
12.52,0.000235641
12.53,0.000235715
12.54,0.000235787
12.55,0.00023586
12.56,0.000235933
12.57,0.000236006
12.58,0.000236079
12.59,0.000236152
12.6,0.000236225
12.61,0.000236298
12.62,0.000236371
12.63,0.000236444
12.64,0.000236517
12.65,0.00023659
12.66,0.000236663
12.67,0.000236736
12.68,0.000236809
12.69,0.000236882
12.7,0.000236955
12.71,0.000237028
12.72,0.000237101
12.73,0.000237174
12.74,0.000237247
12.75,0.00023732
12.76,0.000237393
12.77,0.000237466
12.78,0.000237539
12.79,0.000237612
12.8,0.000237685
12.81,0.000237758
12.82,0.000237831
12.83,0.000237904
12.84,0.000237978
12.85,0.000238051
12.86,0.000238124
12.87,0.000238197
12.88,0.00023827
12.89,0.000238343
12.9,0.000238416
12.91,0.00023849
12.92,0.000238563
12.93,0.000238636
12.94,0.000238709
12.95,0.000238783
12.96,0.000238856
12.97,0.00023893
12.98,0.000239003
12.99,0.000239077
13,0.00023915
13.01,0.000239224
13.02,0.000239297
13.03,0.000239371
13.04,0.000239445
13.05,0.000239518
13.06,0.000239592
13.07,0.000239666
13.08,0.000239739
13.09,0.000239813
13.1,0.000239887
13.11,0.00023996
13.12,0.000240034
13.13,0.000240108
13.14,0.000240181
13.15,0.000240255
13.16,0.000240329
13.17,0.000240402
13.18,0.000240476
13.19,0.00024055
13.2,0.000240623
13.21,0.000240697
13.22,0.000240771
13.23,0.000240844
13.24,0.000240918
13.25,0.000240992
13.26,0.000241065
13.27,0.000241139
13.28,0.000241213
13.29,0.000241287
13.3,0.000241361
13.31,0.000241434
13.32,0.000241508
13.33,0.000241582
13.34,0.000241656
13.35,0.000241729
13.36,0.000241803
13.37,0.000241877
13.38,0.000241951
13.39,0.000242024
13.4,0.000242098
13.41,0.000242172
13.42,0.000242246
13.43,0.00024232
13.44,0.000242393
13.45,0.000242467
13.46,0.000242541
13.47,0.000242615
13.48,0.000242689
13.49,0.000242763
13.5,0.000242837
13.51,0.000242911
13.52,0.000242985
13.53,0.000243059
13.54,0.000243133
13.55,0.000243207
13.56,0.000243281
13.57,0.000243355
13.58,0.000243429
13.59,0.000243503
13.6,0.000243577
13.61,0.000243651
13.62,0.000243725
13.63,0.000243799
13.64,0.000243873
13.65,0.000243947
13.66,0.000244021
13.67,0.000244096
13.68,0.00024417
13.69,0.000244244
13.7,0.000244319
13.71,0.000244393
13.72,0.000244467
13.73,0.000244542
13.74,0.000244616
13.75,0.000244691
13.76,0.000244765
13.77,0.00024484
13.78,0.000244914
13.79,0.000244989
13.8,0.000245064
13.81,0.000245138
13.82,0.000245213
13.83,0.000245288
13.84,0.000245363
13.85,0.000245438
13.86,0.000245512
13.87,0.000245587
13.88,0.000245662
13.89,0.000245737
13.9,0.000245812
13.91,0.000245887
13.92,0.000245962
13.93,0.000246037
13.94,0.000246112
13.95,0.000246187
13.96,0.000246263
13.97,0.000246338
13.98,0.000246413
13.99,0.000246488
